run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,n_ens,n_assimilations,likelihood_sigma,print_every
430,0,es,20251554,1.0,0.5,7500.0,23.942141661814613,7291.198924055265,24.585867001281933,,,100,5,0.6,1
431,0,es,20251555,1.0,0.5,7500.0,23.942141661814613,8181.182673612715,24.47661429786053,,,1000,1,0.6,1
432,0,es,20251556,1.0,0.5,7500.0,23.942141661814613,8135.881740312061,24.562788256940937,,,1000,5,0.6,1
413,0,es,20251537,1.0,0.6666666666666666,7500.0,24.229823734266393,7225.348065439349,24.571515578187142,,,100,1,0.6,1
414,0,es,20251538,1.0,0.6666666666666666,7500.0,24.229823734266393,7289.182824702312,24.5856742336492,,,100,5,0.6,1
415,0,es,20251539,1.0,0.6666666666666666,7500.0,24.229823734266393,8180.758565289048,24.47423913264204,,,1000,1,0.6,1
416,0,es,20251540,1.0,0.6666666666666666,7500.0,24.229823734266393,8135.218995939864,24.562467784159324,,,1000,5,0.6,1
397,0,es,20251521,1.0,1.0,7500.0,24.635288842374557,7222.980335680576,24.56838595150275,,,100,1,0.6,1
398,0,es,20251522,1.0,1.0,7500.0,24.635288842374557,7286.543875433792,24.585398849853416,,,100,5,0.6,1
399,0,es,20251523,1.0,1.0,7500.0,24.635288842374557,8180.1155717676,24.470873114455195,,,1000,1,0.6,1
400,0,es,20251524,1.0,1.0,7500.0,24.635288842374557,8134.268584865685,24.56200766659586,,,1000,5,0.6,1
381,0,es,20251505,1.0,1.5,7500.0,25.04075395048272,7220.569167725172,24.565218171442837,,,100,1,0.6,1
382,0,es,20251506,1.0,1.5,7500.0,25.04075395048272,7283.931054019927,24.585109908940023,,,100,5,0.6,1
383,0,es,20251507,1.0,1.5,7500.0,25.04075395048272,8179.465796027468,24.46750339430668,,,1000,1,0.6,1
384,0,es,20251508,1.0,1.5,7500.0,25.04075395048272,8133.325191630478,24.561541762353283,,,1000,5,0.6,1
365,0,es,20251489,1.0,2.0,7500.0,25.328436022934504,7218.845577313949,24.562944554292255,,,100,1,0.6,1
366,0,es,20251490,1.0,2.0,7500.0,25.328436022934504,7282.010690217131,24.58490146358439,,,100,5,0.6,1
367,0,es,20251491,1.0,2.0,7500.0,25.328436022934504,8178.993165297465,24.465105566885494,,,1000,1,0.6,1
368,0,es,20251492,1.0,2.0,7500.0,25.328436022934504,8132.658834421169,24.56121327027338,,,1000,5,0.6,1
349,0,es,20251473,1.0,2.5,7500.0,25.551579574248713,7217.50487774987,24.561165499330464,,,100,1,0.6,1
350,0,es,20251474,1.0,2.5,7500.0,25.551579574248713,7280.274453182195,24.584743632877725,,,100,5,0.6,1
351,0,es,20251475,1.0,2.5,7500.0,25.551579574248713,8178.629072330877,24.463248576832942,,,1000,1,0.6,1
352,0,es,20251476,1.0,2.5,7500.0,25.551579574248713,8132.149200862639,24.56096311176455,,,1000,5,0.6,1
333,0,es,20251457,1.5,0.4,11250.0,23.7189981105004,6270.364239034991,24.552691483911683,,,100,1,0.6,1
334,0,es,20251458,1.5,0.4,11250.0,23.7189981105004,7466.41788449085,24.580494734127853,,,100,5,0.6,1
335,0,es,20251459,1.5,0.4,11250.0,23.7189981105004,7399.235331080413,24.538984346602728,,,1000,1,0.6,1
336,0,es,20251460,1.5,0.4,11250.0,23.7189981105004,8084.998184250839,24.556912749875377,,,1000,5,0.6,1
317,0,es,20251441,1.5,0.5,11250.0,23.942141661814613,6270.2177745550425,24.550734502535743,,,100,1,0.6,1
318,0,es,20251442,1.5,0.5,11250.0,23.942141661814613,7466.930763729936,24.58007401889203,,,100,5,0.6,1
319,0,es,20251443,1.5,0.5,11250.0,23.942141661814613,7399.777883948998,24.537184968123533,,,1000,1,0.6,1
320,0,es,20251444,1.5,0.5,11250.0,23.942141661814613,8086.256216215537,24.556640179335737,,,1000,5,0.6,1
301,0,es,20251425,1.5,0.6666666666666666,11250.0,24.229823734266393,6269.9634931716,24.548203366377827,,,100,1,0.6,1
302,0,es,20251426,1.5,0.6666666666666666,11250.0,24.229823734266393,7467.576124085093,24.579532986377348,,,100,5,0.6,1
303,0,es,20251427,1.5,0.6666666666666666,11250.0,24.229823734266393,7400.437364203959,24.534860175479697,,,1000,1,0.6,1
304,0,es,20251428,1.5,0.6666666666666666,11250.0,24.229823734266393,8087.868414059017,24.55629140472545,,,1000,5,0.6,1
285,0,es,20251409,1.5,1.0,11250.0,24.635288842374557,6269.460813309813,24.54463408698534,,,100,1,0.6,1
286,0,es,20251410,1.5,1.0,11250.0,24.635288842374557,7468.4474253961,24.578794051134302,,,100,5,0.6,1
287,0,es,20251411,1.5,1.0,11250.0,24.635288842374557,7401.163838915618,24.531556010037548,,,1000,1,0.6,1
288,0,es,20251412,1.5,1.0,11250.0,24.635288842374557,8090.179271721492,24.555797781254796,,,1000,5,0.6,1
269,0,es,20251393,1.5,1.5,11250.0,25.04075395048272,6268.719826450897,24.541034041909622,,,100,1,0.6,1
270,0,es,20251394,1.5,1.5,11250.0,25.04075395048272,7469.328290762013,24.57804633573761,,,100,5,0.6,1
271,0,es,20251395,1.5,1.5,11250.0,25.04075395048272,7401.811881696751,24.528242259443893,,,1000,1,0.6,1
272,0,es,20251396,1.5,1.5,11250.0,25.04075395048272,8092.533694649583,24.5553001742096,,,1000,5,0.6,1
253,0,es,20251377,1.5,2.0,11250.0,25.328436022934504,6268.047105779823,24.53846058844169,,,100,1,0.6,1
254,0,es,20251378,1.5,2.0,11250.0,25.328436022934504,7469.999456202523,24.57750520513399,,,100,5,0.6,1
255,0,es,20251379,1.5,2.0,11250.0,25.328436022934504,7402.175836793485,24.525878279560164,,,1000,1,0.6,1
256,0,es,20251380,1.5,2.0,11250.0,25.328436022934504,8094.202158306463,24.554948948656197,,,1000,5,0.6,1
237,0,es,20251361,1.5,2.5,11250.0,25.551579574248713,6267.55101995378,24.536458842190925,,,100,1,0.6,1
238,0,es,20251362,1.5,2.5,11250.0,25.551579574248713,7470.589637894277,24.577056312065196,,,100,5,0.6,1
239,0,es,20251363,1.5,2.5,11250.0,25.551579574248713,7402.453707895586,24.52404360063251,,,1000,1,0.6,1
240,0,es,20251364,1.5,2.5,11250.0,25.551579574248713,8095.47095211432,24.554677945886173,,,1000,5,0.6,1
221,0,es,20251345,2.0,0.4,15000.0,23.7189981105004,5880.483561139368,24.42956458228537,,,100,1,0.6,1
222,0,es,20251346,2.0,0.4,15000.0,23.7189981105004,7809.257627392909,24.57191993334394,,,100,5,0.6,1
223,0,es,20251347,2.0,0.4,15000.0,23.7189981105004,7396.730900606465,24.526086852819667,,,1000,1,0.6,1
